;No.overall;No. inseason;Title;Directed by;Written by;Original air date;Prod.code;U.S. viewers(millions)
10;80;11;"""A.W.O.L.""";Charlotte Brandström;Brian Ford Sullivan & Emilio Ortega Aldrich;January 27, 2016;3J5811;2.78[89]
11;81;12;"""Unchained""";Kevin Fair;Speed Weed & Beth Schwartz;February 3, 2016;3J5812;2.48[90]
12;82;13;"""Sins of the Father""";Gordon Verheul;Ben Sokolowski & Keto Shimizu;February 10, 2016;3J5813;2.44[91]
13;83;14;"""Code of Silence""";James Bamford;Wendy Mericle & Oscar Balderrama;February 17, 2016;3J5814;2.44[92]
14;84;15;"""Taken""";Gregory Smith;Story by : Marc GuggenheimTeleplay by : Keto Shimizu & Brian Ford Sullivan;February 24, 2016;3J5815;2.70[93]
15;85;16;"""Broken Hearts""";John Showalter;Rebecca Bellotto & Nolan Dunbar;March 23, 2016;3J5816;2.09[94]
16;86;17;"""Beacon of Hope""";Michael Schultz;Ben Sokolowski & Brian Ford Sullivan;March 30, 2016;3J5817;2.34[95]
17;87;18;"""Eleven-Fifty-Nine""";Rob Hardy;Marc Guggenheim & Keto Shimizu;April 6, 2016;3J5818;2.24[96]
18;88;19;"""Canary Cry""";Laura Belsey;Wendy Mericle & Beth Schwartz;April 27, 2016;3J5819;2.27[97]
19;89;20;"""Genesis""";Gregory Smith;Oscar Balderrama & Emilio Ortega Aldrich;May 4, 2016;3J5820;2.07[98]
20;90;21;"""Monument Point""";Kevin Tancharoen;Speed Weed & Jenny Lynn;May 11, 2016;3J5821;2.16[99]
21;91;22;"""Lost in the Flood""";Glen Winter;Brian Ford Sullivan & Oscar Balderrama;May 18, 2016;3J5822;1.94[100]
22;92;23;"""Schism""";John Behring;Story by : Greg BerlantiTeleplay by : Wendy Mericle & Marc Guggenheim;May 25, 2016;3J5823;2.19[101]
0;93;1;"""Legacy""";James Bamford;Story by : Greg BerlantiTeleplay by : Marc Guggenheim & Wendy Mericle;October 5, 2016;T27.13201;1.87[102]
1;94;2;"""The Recruits""";James Bamford;Speed Weed & Beth Schwartz;October 12, 2016;T27.13202;1.94[103]
2;95;3;"""A Matter of Trust""";Gregory Smith;Ben Sokolowski & Emilio Ortega Aldrich;October 19, 2016;T27.13203;1.79[104]
3;96;4;"""Penance""";Dermott Downs;Brian Ford Sullivan & Oscar Balderrama;October 26, 2016;T27.13204;1.87[105]
4;97;5;"""Human Target""";Laura Belsey;Oscar Balderrama & Sarah Tarkoff;November 2, 2016;T27.13205;1.61[106]
5;98;6;"""So It Begins""";John Behring;Wendy Mericle & Brian Ford Sullivan;November 9, 2016;T27.13206;1.95[107]
6;99;7;"""Vigilante""";Gordon Verheul;Ben Sokolowski & Emilio Ortega Aldrich;November 16, 2016;T27.13207;1.86[108]
7;100;8;"""Invasion!""";James Bamford;Story by : Greg BerlantiTeleplay by : Marc Guggenheim & Wendy Mericle;November 30, 2016;T27.13208;3.55[109]
8;101;9;"""What We Leave Behind""";Antonio Negret;Wendy Mericle & Beth Schwartz;December 7, 2016;T27.13209;1.94[110]
9;102;10;"""Who Are You?""";Gregory Smith;Ben Sokolowski & Brian Ford Sullivan;January 25, 2017;T27.13210;1.68[111]
10;103;11;"""Second Chances""";Mark Bunting;Speed Weed & Sarah Tarkoff;February 1, 2017;T27.13211;1.91[112]
11;104;12;"""Bratva""";Ben Bray;Oscar Balderrama & Emilio Ortega Aldrich;February 8, 2017;T27.13212;1.61[113]
12;105;13;"""Spectre of the Gun""";Kristin Windell;Marc Guggenheim;February 15, 2017;T27.13213;1.66[114]
13;106;14;"""The Sin-Eater""";Mary Lambert;Barbara Bloom & Jenny Lynn;February 22, 2017;T27.13214;1.54[115]
14;107;15;"""Fighting Fire with Fire""";Michael Schultz;Speed Weed & Ben Sokolowski;March 1, 2017;T27.13215;1.60[116]
