;Directed_by;reviews;Cluster 0;Cluster 1;Cluster 2;viewers(millions);IMDB rating
98;Antonio Negret;3656;0.1430357098579406;0.8478339314460754;0.0;1.94;9.2
99;Gregory Smith;2679;0.0174753759056329;0.9819080233573914;0.0;1.68;7.8
100;Mark Bunting;2413;0.9994797706604004;0.0;0.0;1.91;8.2
101;Ben Bray;2320;0.0843400359153747;0.91503643989563;0.0;1.61;8.1
102;Kristin Windell;2698;0.0434070825576782;0.9529529809951782;0.0;1.66;7.4
103;Mary Lambert;2274;0.0695241093635559;0.1351093649864196;0.7953665256500244;1.54;7.8
104;Michael Schultz;2486;0.0389971546828746;0.0133413346484303;0.947661519050598;1.6;8.5
105;Ken Shane;2932;0.9982297420501708;0.0;0.0;1.53;9.0
106;Kevin Tancharoen;3956;0.0497267395257949;0.019988814368844;0.9302844405174256;1.38;9.2
107;JJ Makaro;2516;0.9966248273849488;0.0;0.0;1.55;8.5
108;Joel Novoa;2322;0.0194623172283172;0.979622483253479;0.0;1.36;7.9
109;Wendey Stanzler;2961;0.1352598816156387;0.8569391369819641;0.0;1.36;7.7
110;Laura Belsey;2239;0.0111683355644345;0.9819974303245544;0.0;1.65;8.2
111;Mairzee Almas;2977;0.5796787738800049;0.2839961349964142;0.1363250911235809;1.44;9.1
112;Jesse Warn;7342;0.0858674272894859;0.9071331024169922;0.0;1.72;9.7
113;James Bamford;2700;0.027432657778263;0.9659790396690368;0.0;1.52;7.9
114;Laura Belsey;2231;0.2174421399831771;0.1940072625875473;0.5885505676269531;1.51;8.0
115;Kevin Tancharoen;2119;0.0277120247483253;0.1005288064479827;0.8717591762542725;1.34;7.8
116;Gregory Smith;2473;0.0461658686399459;0.9530697464942932;0.0;1.33;7.4
117;Joel Novoa;2502;0.0438295863568782;0.0229261722415685;0.9332442283630372;1.29;8.7
118;Antonio Negret;2150;0.990966022014618;0.0;0.0;1.28;8.4
119;Gordon Verheul;1943;0.9938768744468688;0.0;0.0;1.09;7.8
120;James Bamford;3268;0.9955860376358032;0.0;0.0;2.52;8.7
121;Laura Belsey;2215;0.998309850692749;0.0;0.0;1.3;7.3
122;James Bamford;1891;0.9916682243347168;0.0;0.0;1.38;7.5
123;Wendey Stanzler;1833;0.0331841744482517;0.2740829586982727;0.6927328705787659;1.38;7.7
124;Mairzee Almas;1781;0.9994702935218812;0.0;0.0;1.24;7.9
125;JJ Makaro;1920;0.9970691800117492;0.0;0.0;1.3;8.2
126;Ken Shane;1898;0.992118775844574;0.0;0.0;1.11;7.3
127;Kristin Windell;1829;0.063061699271202;0.9366604685783386;0.0;1.28;8.1
128;Joel Novoa;1811;0.1942433714866638;0.0356127582490444;0.7701438665390015;1.12;8.0
129;Mark Bunting;1882;0.1498155891895294;0.8408296704292297;0.0;0.87;7.9
130;Ben Bray;2211;0.0101119233295321;0.9895877242088318;0.0;1.06;8.7
131;Gordon Verheul;2041;0.3747751712799072;0.6226310729980469;0.0;0.96;8.0
132;Alexandra La Roche;1758;0.2307603061199188;0.7633293867111206;0.0;0.87;8.0
133;Andi Armaganian;2065;0.0791067332029342;0.9123938679695128;0.0;1.1;8.9
134;Tara Miele;1896;0.498138427734375;0.5013992786407471;0.0;1.0;8.5
135;James Bamford;2270;0.2674815356731415;0.0106615088880062;0.721856951713562;1.35;8.8
136;James Bamford;3144;0.0315119922161102;0.032843142747879;0.9356448650360109;1.43;9.1
137;Laura Belsey;2114;0.9577195644378662;0.0418825857341289;0.0;1.18;8.0
138;Gordon Verheul;2038;0.6745902299880981;0.0285123325884342;0.2968974411487579;1.15;8.3
139;Ben Bray;1940;0.0854151099920272;0.0854600816965103;0.8291247487068176;1.08;8.2
140;Mark Bunting;2039;0.0328793302178382;0.9616568684577942;0.0;1.26;8.6
141;Kristin Windell;1887;0.2454423606395721;0.0954418256878852;0.6591157913208008;1.03;8.3
142;James Bamford;3125;0.8029323816299438;0.1946960687637329;0.0;1.31;9.4
143;Alexandra La Roche;1912;0.0674394220113754;0.0106879202648997;0.9218726754188538;1.35;8.4
144;James Bamford;2692;0.99923437833786;0.0;0.0;2.06;9.0
145;Andi Armaganian;1696;0.1303595006465912;0.0308373048901557;0.838803231716156;1.22;7.4
146;David Ramsey;1576;0.0156957916915416;0.0337478406727314;0.9505563974380492;1.18;7.8
147;Ruba Nadda;1447;0.0217720512300729;0.4319635331630707;0.5462644100189209;1.02;7.6
148;James Bamford;1652;0.0274166353046894;0.0209403596818447;0.9516430497169496;1.0;7.7
149;Patia Prouty;1479;0.0160469431430101;0.4602537453174591;0.5236993432044983;1.01;8.1
150;Kristin Windell;1586;0.9891814589500428;0.0;0.0;0.71;7.4
151;Avi Youabian;1370;0.3105049431324005;0.1857248693704605;0.5037701725959778;0.71;7.7
152;Tara Miele;1609;0.6409228444099426;0.0120076332241296;0.3470695316791534;0.64;8.5
153;Gordon Verheul;1445;0.026852099224925;0.100309245288372;0.8728386163711548;0.63;8.2
154;James Bamford;2139;0.990025520324707;0.0;0.0;0.95;8.7
155;James Bamford;2600;0.0123125584796071;0.3413880467414856;0.6462993621826172;0.84;9.1
156;Antonio Negret;1929;0.9967989921569824;0.0;0.0;0.77;8.4
157;Katie Cassidy;2024;0.9985209703445436;0.0;0.0;0.76;8.7
158;Kristin Windell;1930;0.9810693264007568;0.0;0.0;0.62;8.8
159;Laura Belsey;1685;0.0187424439936876;0.9809815287590028;0.0;0.74;8.6
160;David Ramsey;1822;0.99956876039505;0.0;0.0;0.79;9.0
161;James Bamford;1686;0.6614722609519958;0.1210923343896865;0.2174353599548339;0.83;8.9
162;Glen Winter;2482;0.0211535152047872;0.167040929198265;0.8118055462837219;1.41;8.7
163;Tara Miele;1868;0.040380660444498;0.959076762199402;0.0;0.89;7.1
164;James Bamford;2874;0.1953688114881515;0.2960781753063202;0.5085530281066895;0.73;9.4
